file_name,test_url,test_description,test_selector,test_hide,test_action,test_env
pdp,https://epi-preprod.northshorecare.com/adult-diapers/adult-diapers-with-tabs/northshore-megamax-tab-style-briefs,Pdp Full Page,body,".modal-backdrop.flyout, #onetrust-banner-sdk",full site scroll to reveal all lazy load components,prep
pdp,https://epi-preprod.northshorecare.com/adult-diapers/adult-diapers-with-tabs/northshore-megamax-tab-style-briefs,Product Top Section - Selected Variant,"div[data-component^=""productContainer""]","#header, .modal-backdrop.flyout, .leaderboardblock, #onetrust-banner-sdk, #contact-us-popup, #recommended-panel","select S, White, Case/40 (4/10s) ",prep
pdp,https://epi-preprod.northshorecare.com/adult-diapers/adult-diapers-with-tabs/northshore-megamax-tab-style-briefs,Pdp Details Accordion - Expanded Features,#product-details-accordion,"#header, .modal-backdrop.flyout, .leaderboardblock, #onetrust-banner-sdk","click button[data-product-click-text=""Features""]",prep
pdp,https://epi-preprod.northshorecare.com/adult-diapers/adult-diapers-with-tabs/northshore-megamax-tab-style-briefs,Image Gallery - Expanded,"div[data-component^=""pdp-gallery""]","#header, .modal-backdrop.flyout, .leaderboardblock, #onetrust-banner-sdk",,prep
pdp,https://epi-preprod.northshorecare.com/adult-diapers/adult-diapers-with-tabs/northshore-megamax-tab-style-briefs,Scrolling Reveal,div.scrollingrevealblock,"#sticky-options-bar, #recommended-panel, .back-to-top, #contact-us-popup",scroll down until div.scrollingrevealblock stick to top,prep
pdp,https://epi-preprod.northshorecare.com/adult-diapers/adult-diapers-with-tabs/northshore-megamax-tab-style-briefs,Often Paired With,div.hasText = Often Paired With,,click .splide__arrow.splide__arrow--next,prep
pdp,https://epi-preprod.northshorecare.com/adult-diapers/adult-diapers-with-tabs/northshore-megamax-tab-style-briefs,Comparison Chart,div.comparisonchartblock,"#header, .modal-backdrop.flyout, .leaderboardblock, #onetrust-banner-sdk, #contact-us-popup, #recommended-panel",scroll to right,prep
pdp,https://epi-preprod.northshorecare.com/adult-diapers/adult-diapers-with-tabs/northshore-megamax-tab-style-briefs,Accordion Block,div.accordionblock,"#header, .modal-backdrop.flyout, .leaderboardblock, #onetrust-banner-sdk, #contact-us-popup, #recommended-panel",click the first button,prep
pdp,https://epi-preprod.northshorecare.com/adult-diapers/adult-diapers-with-tabs/northshore-megamax-tab-style-briefs,Four Recommend Products,div.fourrecommendedproductsblock,"#header, .modal-backdrop.flyout, .leaderboardblock, #onetrust-banner-sdk, #contact-us-popup, #recommended-panel",click .splide__arrow.splide__arrow--next,prep
,,,,,,
pdp,https://epi-int.northshorecare.com/adult-diapers/adult-pull-ups/northshore-gosupreme-pull-on-underwear,Pdp Full Page,body,".modal-backdrop.flyout, #onetrust-banner-sdk",full site scroll to reveal all lazy load components,int
pdp,https://epi-int.northshorecare.com/adult-diapers/adult-pull-ups/northshore-gosupreme-pull-on-underwear,Product Top Section - Selected Variant,"div[data-component^=""productContainer""]","#header, .modal-backdrop.flyout, .leaderboardblock, #onetrust-banner-sdk, #contact-us-popup, #recommended-panel","select S, White, Case/40 (4/10s) ",int
pdp,https://epi-int.northshorecare.com/adult-diapers/adult-pull-ups/northshore-gosupreme-pull-on-underwear,Pdp Details Accordion - Expanded Features,#product-details-accordion,"#header, .modal-backdrop.flyout, .leaderboardblock, #onetrust-banner-sdk","click button[data-product-click-text=""Features""]",int
pdp,https://epi-int.northshorecare.com/adult-diapers/adult-pull-ups/northshore-gosupreme-pull-on-underwear,Image Gallery - Expanded,"div[data-component^=""pdp-gallery""]","#header, .modal-backdrop.flyout, .leaderboardblock, #onetrust-banner-sdk",,int
pdp,https://epi-int.northshorecare.com/adult-diapers/adult-pull-ups/northshore-gosupreme-pull-on-underwear,Scrolling Reveal,div.scrollingrevealblock,"#sticky-options-bar, #recommended-panel, .back-to-top, #contact-us-popup",scroll down until div.scrollingrevealblock stick to top,int
pdp,https://epi-int.northshorecare.com/adult-diapers/adult-pull-ups/northshore-gosupreme-pull-on-underwear,Often Paired With,div.hasText = Often Paired With,,click .splide__arrow.splide__arrow--next,int
pdp,https://epi-int.northshorecare.com/adult-diapers/adult-pull-ups/northshore-gosupreme-pull-on-underwear,Comparison Chart,div.comparisonchartblock,"#header, .modal-backdrop.flyout, .leaderboardblock, #onetrust-banner-sdk, #contact-us-popup, #recommended-panel",scroll to right,int
pdp,https://epi-int.northshorecare.com/adult-diapers/adult-pull-ups/northshore-gosupreme-pull-on-underwear,Accordion Block,div.accordionblock,"#header, .modal-backdrop.flyout, .leaderboardblock, #onetrust-banner-sdk, #contact-us-popup, #recommended-panel",click the first button,int
pdp,https://epi-int.northshorecare.com/adult-diapers/adult-pull-ups/northshore-gosupreme-pull-on-underwear,Four Recommend Products,div.fourrecommendedproductsblock,"#header, .modal-backdrop.flyout, .leaderboardblock, #onetrust-banner-sdk, #contact-us-popup, #recommended-panel",click .splide__arrow.splide__arrow--next,int
